Waketime,CurrentIdealBedtime,SleepHours,Increment,GoalBedtime
"2017-03-15 00:30:52 +0000","2017-03-15 00:30:52 +0000",8,15,"2017-03-15 00:30:52 +0000"
"2017-03-15 00:41:49 +0000","2017-03-15 00:41:49 +0000",8,15,"2017-03-15 00:41:49 +0000"
"2017-03-15 00:45:35 +0000","2017-03-15 00:45:35 +0000",8,15,"2017-03-15 00:45:35 +0000"
"2017-03-15 01:04:46 +0000","2017-03-15 01:04:46 +0000",8,15,"2017-03-15 01:04:46 +0000"
"2017-03-15 07:15:44 +0000","2017-03-15 01:09:53 +0000",7.5,15,"2017-03-14 23:45:44 +0000"
"2017-03-15 01:16:20 +0000","2017-03-15 01:16:20 +0000",8,15,"2017-03-15 01:16:20 +0000"
"2017-03-15 07:15:44 +0000","2000-01-01 01:21:00 +0000",7.5,15,"2017-03-14 23:45:44 +0000"
"2017-03-15 07:15:44 +0000","2000-01-01 01:06:00 +0000",7.5,15,"2017-03-14 23:45:44 +0000"
"2017-03-15 07:15:44 +0000","2000-01-01 01:20:45 +0000",7.5,15,"2017-03-14 23:45:44 +0000"
"2017-03-15 07:15:44 +0000","2000-01-01 01:20:45 +0000",7.5,15,"2017-03-14 23:45:44 +0000"
"2017-03-15 07:00:44 +0000","2000-01-01 01:20:30 +0000",7.5,15,"2017-03-14 23:30:44 +0000"
"2017-03-15 07:00:44 +0000","2000-01-01 01:20:15 +0000",7.5,15,"2017-03-14 23:30:44 +0000"
"2017-03-15 07:00:44 +0000","2000-01-01 01:20:45 +0000",7.5,15,"2017-03-14 23:30:44 +0000"
"2017-03-15 07:00:44 +0000","2000-01-01 01:20:45 +0000",7.5,15,"2017-03-14 23:30:44 +0000"
"2017-03-15 07:00:44 +0000","2000-01-01 01:20:45 +0000",7.5,15,"2017-03-14 23:30:44 +0000"
"2017-03-15 07:00:44 +0000","2000-01-01 01:20:45 +0000",7.5,15,"2017-03-14 23:30:44 +0000"
"2017-03-15 07:00:44 +0000","2000-01-01 01:20:45 +0000",7.5,15,"2017-03-14 23:30:44 +0000"
"2017-03-15 07:00:44 +0000","2000-01-01 01:20:45 +0000",7.5,15,"2017-03-14 23:30:44 +0000"
"2017-03-15 09:00:44 +0000","2000-01-01 01:20:30 +0000",7.5,15,"2017-03-15 01:30:44 +0000"
"2017-03-15 09:00:44 +0000","2000-01-01 01:20:15 +0000",7.5,15,"2017-03-15 01:30:44 +0000"
"2017-03-15 10:00:44 +0000","2000-01-01 01:21:15 +0000",7.5,15,"2017-03-15 02:30:44 +0000"
"2017-03-15 10:00:44 +0000","2000-01-01 01:21:15 +0000",7.5,15,"2017-03-15 02:30:44 +0000"
"2017-03-15 10:00:44 +0000","2000-01-01 01:21:15 +0000",7.5,15,"2017-03-15 02:30:44 +0000"
"2017-03-15 07:00:44 +0000","2000-01-01 01:20:45 +0000",7.5,15,"2017-03-14 23:30:44 +0000"
"2017-03-15 08:00:44 +0000","2000-01-01 01:20:45 +0000",7.5,15,"2017-03-15 00:30:44 +0000"
"2017-03-15 07:00:44 +0000","2000-01-01 01:20:45 +0000",7.5,15,"2017-03-14 23:30:44 +0000"
"2017-03-15 07:00:44 +0000","2000-01-01 01:20:45 +0000",7.5,15,"2017-03-14 23:30:44 +0000"
"2017-03-15 07:00:44 +0000","2000-01-01 01:20:45 +0000",7.5,15,"2017-03-14 23:30:44 +0000"
"2017-03-15 07:00:44 +0000","2000-01-01 01:20:45 +0000",7.5,15,"2017-03-14 23:30:44 +0000"
"2017-03-15 07:00:44 +0000","2000-01-01 01:20:45 +0000",7.5,15,"2017-03-14 23:30:44 +0000"
"2017-03-15 07:00:44 +0000","2000-01-01 01:06:00 +0000",7.5,15,"2017-03-14 23:30:44 +0000"
"2017-03-15 07:30:44 +0000","2000-01-01 01:06:00 +0000",7.5,15,"2017-03-15 00:00:44 +0000"
"2017-03-15 07:30:44 +0000","2000-01-01 01:06:00 +0000",7.5,15,"2017-03-15 00:00:44 +0000"
"2017-03-15 07:30:44 +0000","2000-01-01 01:06:00 +0000",7.5,15,"2017-03-15 00:00:44 +0000"
"2017-03-15 07:30:44 +0000","2000-01-01 01:06:00 +0000",7.5,15,"2017-03-15 00:00:44 +0000"
"2017-03-15 08:30:44 +0000","2000-01-01 01:06:00 +0000",7.5,15,"2017-03-15 01:00:44 +0000"
"2017-03-15 08:10:44 +0000","2000-01-01 01:06:00 +0000",7.5,15,"2017-03-15 00:40:44 +0000"
"2017-03-15 08:50:44 +0000","2000-01-01 00:51:00 +0000",7.5,15,"2017-03-15 01:20:44 +0000"
"2017-03-15 08:50:44 +0000","2000-01-01 01:21:00 +0000",7.5,15,"2017-03-15 01:20:44 +0000"
"2017-03-15 06:50:44 +0000","2000-01-01 01:06:00 +0000",7.5,15,"2017-03-14 23:20:44 +0000"
"2017-03-15 06:50:44 +0000","2000-01-01 01:06:00 +0000",7.5,15,"2017-03-14 23:20:44 +0000"
"2017-03-15 06:50:44 +0000","2000-01-01 01:06:00 +0000",7.5,15,"2017-03-14 23:20:44 +0000"
"2017-03-15 06:50:44 +0000","2000-01-01 02:42:00 +0000",7.5,15,"2017-03-14 23:20:44 +0000"
"2017-03-15 07:15:44 +0000","2000-01-01 02:42:00 +0000",7.5,15,"2017-03-14 23:45:44 +0000"
"2017-03-15 07:15:44 +0000","2000-01-01 02:42:00 +0000",7.5,15,"2017-03-14 23:45:44 +0000"
"2017-03-15 07:15:44 +0000","2000-01-01 02:42:00 +0000",7.5,15,"2017-03-14 23:45:44 +0000"
"2017-03-15 07:15:44 +0000","2000-01-01 02:42:00 +0000",7.5,15,"2017-03-14 23:45:44 +0000"
"2017-03-15 06:15:44 +0000","2000-01-01 02:42:00 +0000",7.5,15,"2017-03-14 22:45:44 +0000"
"2017-03-15 06:15:44 +0000","2000-01-01 02:42:00 +0000",8,15,"2017-03-14 22:15:44 +0000"
"2017-03-15 06:15:44 +0000","2000-01-01 02:42:00 +0000",8,15,"2017-03-14 22:15:44 +0000"
"2017-03-15 06:15:44 +0000","2000-01-01 02:42:00 +0000",8,15,"2017-03-14 22:15:44 +0000"
"2017-03-15 06:15:44 +0000","2000-01-01 05:12:00 +0000",8,15,"2017-03-14 22:15:44 +0000"
"2017-03-15 07:15:44 +0000","2000-01-01 05:12:00 +0000",8,15,"2017-03-14 23:15:44 +0000"
"2017-03-15 07:15:44 +0000","2000-01-01 05:12:00 +0000",8,15,"2017-03-14 23:15:44 +0000"
"2017-03-15 07:15:44 +0000","2000-01-01 05:12:00 +0000",8,15,"2017-03-14 23:15:44 +0000"
"2017-03-15 01:04:46 +0000","2000-01-01 10:50:00 +0000",8,15,"2017-03-14 17:04:46 +0000"
"2017-03-15 01:04:46 +0000","2000-01-01 10:50:00 +0000",8,15,"2017-03-14 17:04:46 +0000"
"2017-03-15 22:55:23 +0000","2017-03-15 22:55:23 +0000",8,15,"2017-03-15 22:55:23 +0000"
"2017-03-15 23:00:10 +0000","2017-03-15 23:00:10 +0000",8,15,"2017-03-15 23:00:10 +0000"
"2017-03-15 00:30:52 +0000","2000-01-01 02:20:00 +0000",8,15,"2017-03-14 16:30:52 +0000"
"2017-03-15 00:30:52 +0000","2000-01-01 02:20:00 +0000",8,15,"2017-03-14 16:30:52 +0000"
"2017-03-15 00:30:52 +0000","2000-01-01 05:20:00 +0000",8,15,"2017-03-14 16:30:52 +0000"
"2017-03-15 00:41:49 +0000","2000-01-01 00:31:00 +0000",8,15,"2017-03-14 16:41:49 +0000"
"2017-03-15 01:04:46 +0000","2000-01-01 10:50:00 +0000",8,15,"2017-03-14 17:04:46 +0000"
"2017-03-15 01:04:46 +0000","2000-01-01 10:50:00 +0000",8,15,"2017-03-14 17:04:46 +0000"
"2017-03-15 01:04:46 +0000","2000-01-01 10:50:00 +0000",8,15,"2017-03-14 17:04:46 +0000"
"2017-03-15 00:41:49 +0000","2000-01-01 00:31:00 +0000",8,15,"2017-03-14 16:41:49 +0000"
"2017-03-16 18:33:19 +0000","2017-03-16 18:33:19 +0000",8,15,"2017-03-16 18:33:19 +0000"
"2017-03-15 01:04:46 +0000","2000-01-01 10:50:00 +0000",8,15,"2017-03-14 17:04:46 +0000"
"2017-03-15 00:30:52 +0000","2000-01-01 05:20:00 +0000",8,15,"2017-03-14 16:30:52 +0000"
"2017-03-15 00:30:52 +0000","2000-01-01 05:20:00 +0000",8,15,"2017-03-14 16:30:52 +0000"
"2017-03-15 00:41:49 +0000","2000-01-01 00:31:00 +0000",8,15,"2017-03-14 16:41:49 +0000"
"2017-03-17 23:37:25 +0000","2017-03-17 23:37:25 +0000",8,15,"2017-03-17 23:37:25 +0000"
"2017-03-19 15:11:50 +0000","2017-03-19 15:11:50 +0000",8,15,"2017-03-19 15:11:50 +0000"
"2017-03-19 08:11:50 +0000","2017-03-19 15:13:20 +0000",9,15,"2017-03-18 23:11:50 +0000"
